Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;TFC;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;TUC;RStationID
39.00587899999985,-3.370442500000195;"{""coordinates"": [-3.370442500000195, 39.00587899999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:f6e864b2-34e0-449c-bf14-3328d2afbe;2015-10-26;AQ125;ES;15;Estación FF.CC. de Manzanares;N_A;Estacion FF.CC. de Manzanares;N_A;SPA;N_A;45;N.ES.RAILRDC.000128
45.20431399999984,26.73179399999978;"{""coordinates"": [26.73179399999978, 45.20431399999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:98c08724-4f28-4e88-9580-eaca22784c;2015-10-26;AQ125;RO;15;Verneşti;N_A;Vernesti;N_A;RUM;N_A;45;N.RO.RAILRDC.000701
42.837592999999856,27.06180099999977;"{""coordinates"": [27.06180099999977, 42.837592999999856], ""type"": ""Point""}";1;_EG.EGM.RailrdC:627f8574-6626-41db-b6e3-10e965a60f;2012-01-01;AQ125;BG;0;Завет;N_A;Zavet;N_A;BUL;N_A;0;N.BG.RAILRDC.000132
48.494425999999834,35.03331149999977;"{""coordinates"": [35.03331149999977, 48.494425999999834], ""type"": ""Point""}";1;_EG.EGM.RailrdC:a2277640-98d4-42ae-90df-3151b3d429;2012-01-01;AQ125;UA;0;Амур;N_A;Amur;N_A;UKR;N_A;0;N.UA.RAILRDC.000223
48.635041999999856,39.40850199999977;"{""coordinates"": [39.40850199999977, 48.635041999999856], ""type"": ""Point""}";1;_EG.EGM.RailrdC:3edf49bc-003c-4638-b5a0-a9e383626f;2012-01-01;AQ125;UA;0;Вергунка (РЗД.);N_A;Verhunka (RZD.);N_A;UKR;N_A;0;N.UA.RAILRDC.000248
47.06212849999985,15.083973999999785;"{""coordinates"": [15.083973999999785, 47.06212849999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:a7580ac8-c400-49f6-94f3-9781036dc2;2015-10-26;AQ125;AT;15;Köflach;N_A;Koeflach;N_A;GER;N_A;45;N.AT.RAILRDC.000058
41.32980849999984,2.087200999999794;"{""coordinates"": [2.087200999999794, 41.32980849999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:9acdfa19-6b81-4806-9fe2-9947cdfa08;2015-10-26;AQ125;ES;15;Estación FF.CC. del Prat de Llobregat;Estació FF.CC. del Prat de Llobregat;Estacion FF.CC. del Prat de Llobregat;Estacio FF.CC. del Prat de Llobregat;SPA;CAT;45;N.ES.RAILRDC.000193
50.67893699999985,3.138214999999803;"{""coordinates"": [3.138214999999803, 50.67893699999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:569c23b6-21c6-4e40-ab42-3f8a1c6b1c;2015-10-26;AQ125;FR;15;Croix-Wasquehal;N_A;Croix-Wasquehal;N_A;FRE;N_A;26;N.FR.RAILRDC.000114
48.12246549999983,-1.211258500000184;"{""coordinates"": [-1.211258500000184, 48.12246549999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:cc48eb15-c4b7-4e4a-b4d2-1a98f0d7b4;2015-10-26;AQ125;FR;15;Vitré;N_A;Vitre;N_A;FRE;N_A;45;N.FR.RAILRDC.000517
38.651977499999845,-9.027213500000187;"{""coordinates"": [-9.027213500000187, 38.651977499999845], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7a45ab95-d137-41f9-aa5b-842b0d87d0;2015-10-26;AQ125;PT;15;Alhos Vedros;N_A;Alhos Vedros;N_A;POR;N_A;26;N.PT.RAILRDC.000361
51.27386549999982,14.092151999999798;"{""coordinates"": [14.092151999999798, 51.27386549999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:05c73930-a4da-48fd-a10e-54480ca2a1;2015-10-26;AQ125;DE;15;Kamenz (Sachs);N_A;Kamenz (Sachs);N_A;GER;N_A;45;N.DE.RAILRDC.003475
52.03836399999983,4.320498999999785;"{""coordinates"": [4.320498999999785, 52.03836399999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:19653e69-afc0-4d13-88db-6c4b226b4b;2015-10-26;AQ125;NL;32;Rijswijk;N_A;Rijswijk;N_A;DUT;N_A;26;N.NL.RAILRDC.000264
50.75136899999984,16.198298499999794;"{""coordinates"": [16.198298499999794, 50.75136899999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:4cac6537-1ef2-4b89-b43a-fcddb988dd;2015-10-26;AQ125;PL;15;Boguszów Gorce Wschód;N_A;Boguszow Gorce Wschod;N_A;POL;N_A;45;N.PL.RAILRDC.000157
57.132078999999834,22.650778999999773;"{""coordinates"": [22.650778999999773, 57.132078999999834], ""type"": ""Point""}";1;_EG.EGM.RailrdC:64ecc34d-bcc0-485b-bbab-092480cc31;2015-10-26;AQ125;LV;31;Sabile;N_A;Sabile;N_A;LAV;N_A;45;N.LV.RAILRDC.000106
55.532590999999826,25.10850449999978;"{""coordinates"": [25.10850449999978, 55.532590999999826], ""type"": ""Point""}";1;_EG.EGM.RailrdC:be89ddff-bbf1-43a1-b396-0c09102fd2;2015-10-26;AQ125;LT;15;Anykščiai;N_A;Anyksciai;N_A;LIT;N_A;45;N.LT.RAILRDC.000043
47.82864199999983,24.211271499999782;"{""coordinates"": [24.211271499999782, 47.82864199999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:8f7e26a0-b623-4a87-b2ca-0906b0ddee;2015-10-26;AQ125;RO;15;Petrova;N_A;Petrova;N_A;RUM;N_A;45;N.RO.RAILRDC.000138
51.29145749999984,4.434908999999806;"{""coordinates"": [4.434908999999806, 51.29145749999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:90113c58-3bba-4ee8-86ff-e668ae6f35;2015-10-26;AQ125;BE;32;Sint-Mariaburg;N_A;Sint-Mariaburg;N_A;DUT;N_A;26;N.BE.RAILRDC.000278
49.24699299999983,8.507307499999797;"{""coordinates"": [8.507307499999797, 49.24699299999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7ef2e30d-c4f8-43ce-ae3c-15121f06bc;2015-10-26;AQ125;DE;15;Waghäusel;N_A;Waghaeusel;N_A;GER;N_A;45;N.DE.RAILRDC.000032
49.29925199999985,7.053454499999788;"{""coordinates"": [7.053454499999788, 49.29925199999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:c8f1505b-8974-4000-afb8-a1664993c1;2015-10-26;AQ125;DE;15;Sulzbach (Saar);N_A;Sulzbach (Saar);N_A;GER;N_A;45;N.DE.RAILRDC.001330
52.92079149999984,9.237590999999782;"{""coordinates"": [9.237590999999782, 52.92079149999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:ea76740b-92ec-4ae4-8f89-228cc1e1ee;2015-10-26;AQ125;DE;15;Verden (Aller);N_A;Verden (Aller);N_A;GER;N_A;45;N.DE.RAILRDC.001803
51.53256799999983,12.165771499999778;"{""coordinates"": [12.165771499999778, 51.53256799999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:1bc45222-c956-4bbf-8e47-4ae24e4654;2015-10-26;AQ125;DE;15;Landsberg (b Halle/Saale);N_A;Landsberg (b Halle/Saale);N_A;GER;N_A;45;N.DE.RAILRDC.001031
46.65597199999985,32.60434299999977;"{""coordinates"": [32.60434299999977, 46.65597199999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:2bda0dfd-e7b2-4a14-b6b1-04eb72ffa4;2012-01-01;AQ125;UA;0;Херсон;N_A;Kherson;N_A;UKR;N_A;0;N.UA.RAILRDC.000278
45.766099499999854,24.45654049999976;"{""coordinates"": [24.45654049999976, 45.766099499999854], ""type"": ""Point""}";1;_EG.EGM.RailrdC:cc9e76bd-99b5-4048-b461-c3e0b6d1f0;2015-10-26;AQ125;RO;15;Porumbacu;N_A;Porumbacu;N_A;RUM;N_A;45;N.RO.RAILRDC.000578
47.77502299999983,23.120421499999765;"{""coordinates"": [23.120421499999765, 47.77502299999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:22638866-2f34-47d9-8580-2e259b3da1;2015-10-26;AQ125;RO;15;Medieşu Aurit;N_A;Mediesu Aurit;N_A;RUM;N_A;45;N.RO.RAILRDC.000144
43.268025499999844,-2.925137000000205;"{""coordinates"": [-2.925137000000205, 43.268025499999844], ""type"": ""Point""}";1;_EG.EGM.RailrdC:f836e691-8393-4e25-b4eb-49ea4245fa;2015-10-26;AQ125;ES;15;Estación FF.CC. de Matikoko;Matikoko Trenbide Geltokia;Estacion FF.CC. de Matikoko;Matikoko Trenbide Geltokia;SPA;BAQ;45;N.ES.RAILRDC.000714
50.83601849999985,4.65386;"{""coordinates"": [4.65386, 50.83601849999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:3ea0ff9f-e3ef-4424-ac08-b2a38fbaea;2015-10-26;AQ125;BE;32;Oud-Heverlee;N_A;Oud-Heverlee;N_A;DUT;N_A;26;N.BE.RAILRDC.000486
